circ_name	circ_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Z30_1SF	Z30_2SF	Z30_3SF	Z30_1_PF	Z30_3PF	Y30_1SF	Y30_2SF	Y30_3SF	Y30_1PF	Y30_2PF
sus_circABCA6_36	12:11253178|11268222	59.6672419825472	2.55508041126693	0.416260553873994	6.13817568704908	8.34745175676511e-10	7.77426006946724e-07	115.082792926176	99.023469322545	103.590527708818	94.6104473237398	97.1205122994419	28.1549502814472	30.091524038463	2.49577000846221	17.9331192226778	8.56930669370118
sus_circARHGAP12_17	10:42468077|42490463	30.4654773648343	1.50772085102572	0.374136140840818	4.0298722482071	5.58071744898633e-05	0.00791414438255773	41.7398730820327	33.007823107515	66.0135715791488	54.4456347806427	31.1039549194291	14.7478310998057	16.0488128205136	14.9746200507733	10.7598715336067	21.8127806748757
sus_circASAP1_23	4:10374029|10386233	5.122766305827	3.10336399129521	0.883788134973474	3.51143432287463	0.000445695576617627	0.0372284082299299	4.77027120937516	13.203129243006	13.2027143158298	8.03296250861942	6.98252049211674	0	3.0091524038463	1.24788500423111	0	0.779027881245562
sus_circATRX_46	X:61688015|61691522	9.42719910571905	3.3362038661991	0.759983230884035	4.38983878936162	1.13434723685078e-05	0.00275939318850926	19.0810848375007	9.9023469322545	30.4678022672994	3.57020555938641	22.8518852469275	0	2.0061016025642	1.24788500423111	3.58662384453555	1.55805576249112
sus_circATRX_49	X:61688015|61702090	6.3088542087423	4.16681381898859	1.03488790237119	4.02634315218235	5.6650997727686e-05	0.00791414438255773	9.54054241875033	9.9023469322545	10.1559340890998	26.7765416953981	3.17387295096215	1.34071191816415	1.0030508012821	0	1.19554128151185	0
sus_circEHBP1_14	3:78952890|78998646	3.83318865217491	5.22900347075705	1.17401965449295	4.45393179811406	8.43118922648751e-06	0.00275939318850926	2.38513560468758	9.9023469322545	15.2339011336497	4.46275694923301	6.34774590192431	0	0	0	0	0
sus_circENSSSCG00000015313_17	9:72153385|72160471	12.7950981698655	3.05871217332251	0.724828953329693	4.21990893061254	2.44401026198986e-05	0.00455237644799978	15.5033814304693	31.9075623372645	23.3586484049296	19.6361305766252	25.3909836076972	0	0	1.24788500423111	0	10.9063903374379
sus_circENSSSCG00000032235_1	17:62385259|62387140	2.53405402706582	4.63910191653187	1.20664969307224	3.8446136796507	0.000120742502574285	0.0146675892257632	2.98141950585948	6.601564621503	7.10915386236987	3.57020555938641	5.07819672153945	0	0	0	0	0
sus_circENSSSCG00000042710_2	4:89111117|89111486	30.0022690946567	1.97483410506066	0.400221234474833	4.93435613842934	8.04155914919144e-07	0.000374468604380682	37.5658857738294	38.5091269587675	69.0603518058787	35.7020555938641	57.1297131173188	20.1106787724623	10.030508012821	13.7267350465422	11.9554128151185	6.2322230499645
sus_circIPMK_3	14:92396506|92409653	8.13918035542334	2.33085578768575	0.633024707628492	3.68209290979789	0.000231327070461068	0.0223094260130517	14.3108136281255	15.403650783507	9.14034068018983	16.0659250172388	13.330266394041	2.68142383632831	1.0030508012821	0	4.7821651260474	4.67416728747337
sus_circNCOA6_22	17:38164322|38173595	8.10592533318579	2.31704445967503	0.673741706537148	3.43906936025087	0.000583717658995791	0.0440785713306551	10.1368263199222	19.804693864509	9.14034068018983	20.5286819664718	7.61729508230917	2.68142383632831	5.0152540064105	3.74365501269332	2.3910825630237	0
sus_circNUP58_15	11:3237458|3242632	4.95386264707696	5.60215274571655	1.10113062318783	5.08763685955625	3.62552738792635e-07	0.000202594470437325	4.77027120937516	15.403650783507	12.1871209069198	8.92551389846602	8.2520696725016	0	0	0	0	0
sus_circPPP2R1B_5	9:39494895|39504434	9.83268317697364	6.61913872306823	1.01984601847164	6.49033148453898	8.56477172461256e-11	1.19649860992838e-07	26.8327755527353	17.604172324008	19.2962747692896	14.2808222375456	20.3127868861578	0	0	0	0	0
sus_circPRSS55_2	14:13379691|13384817	2.53946907475093	4.67850938028462	1.31321323436875	3.56264257611868	0.000367140394782194	0.0320559457194203	8.34797461640654	3.3007823107515	0	8.03296250861942	5.71297131173188	0	0	0	0	0
sus_circSH3GLB1_9	4:129368386|129385680	10.8717180053	2.21493748012638	0.552325030773891	4.0102065934309	6.06656438408656e-05	0.00807141947101802	16.6959492328131	25.3059977157615	15.2339011336497	15.1733736273922	17.1389139351956	6.70355959082077	3.0091524038463	0	4.7821651260474	4.67416728747337
sus_circTBC1D8_29	3:53270127|53270926	6.90402889928784	3.58558031202144	0.865424852643264	4.14314460818871	3.4257577796933e-05	0.00563033366850769	11.9256780234379	8.802086162004	5.07796704454991	25.8839903055515	12.0607172136562	1.34071191816415	0	0	2.3910825630237	1.55805576249112
sus_circULK2_10	12:59821853|59839936	3.71664828759222	5.19822239832604	1.31848041257593	3.94258598667402	8.06077360328891e-05	0.0102371824761769	1.78885170351569	17.604172324008	5.07796704454991	0	12.6954918038486	0	0	0	0	0
sus_circUSP24_69	6:157293187|157294263	10.3264535772872	2.39910801893771	0.68407302315832	3.50709345014249	0.000453030021409311	0.0372284082299299	17.292233133985	26.406258486012	16.2494945425597	13.388270847699	13.330266394041	0	1.0030508012821	12.4788500423111	0	3.11611152498225
sus_circATL3_10	2:8388248|8390219	18.4720075337919	-2.33566408690258	0.530467137079082	-4.4030325794798	1.06748128089084e-05	0.00275939318850926	9.54054241875033	7.7018253917535	10.1559340890998	3.57020555938641	0	28.1549502814472	22.0671176282062	32.4450101100088	43.0394861344266	28.0450037248402
sus_circENSSSCG00000010941_29	10:26180874|26218089	1.85163038628235	-4.62752063557651	1.35223151154376	-3.42213636945463	0.00062131143131718	0.0445113881820564	0	0	0	0	0	2.68142383632831	9.0274572115389	2.49577000846221	1.19554128151185	3.11611152498225
sus_circENSSSCG00000012071_1	13:203325937|203330171	2.54361173646195	-5.06207928032995	1.32302158623971	-3.82615017999621	0.000130162899034901	0.0151531308293131	0	0	0	0	0	4.02213575449246	0	9.98308003384885	5.97770640755926	5.45319516871893
sus_circENSSSCG00000022963_19	3:40456609|40457300	6.80154368391706	-2.52145215436427	0.684835082507978	-3.68183847289233	0.00023155810822423	0.0223094260130517	1.78885170351569	1.1002607702505	3.04678022672994	0	3.80864754115458	20.1106787724623	11.0335588141031	6.23942502115553	10.7598715336067	10.1273624561923
sus_circENSSSCG00000041410_2	7:23022971|23023608	8.91903299250958	-4.71665193404501	1.07987046897898	-4.3677941656323	1.25507691151871e-05	0.00275939318850926	0	0	2.03118681781996	0	1.26954918038486	21.4513906906265	2.0061016025642	16.2225050550044	45.4305686974503	0.779027881245562
sus_circENSSSCG00000043604_6	X:59556112|59571888	7.58542595242543	-6.06506504090525	1.07018937039534	-5.66728207986663	1.45080393622499e-08	1.01338654945316e-05	0	0	0	0	0.634774590192431	13.4071191816415	28.0854224358988	13.7267350465422	5.97770640755926	14.0225018624201
sus_circENSSSCG00000051610_14	18:17859078|17947161	2.34485059280109	-4.94733649743163	1.45359506827245	-3.40351766830867	0.00066524110776844	0.0464670913776256	0	0	0	0	0	9.38498342714908	12.0366096153852	1.24788500423111	0	0.779027881245562
sus_circERI3_29	6:166989367|167000612	17.0236386085703	-1.62294489055322	0.454348415645463	-3.57202718149157	0.00035422863500246	0.0319262840708668	4.77027120937516	9.9023469322545	5.07796704454991	8.03296250861942	13.9650409842335	28.1549502814472	26.0793208333346	12.4788500423111	27.4974494747726	34.2772267748047
sus_circEXOC4_15	18:15347146|15348948	3.08931325855112	-4.76364789713865	1.16722839515754	-4.08116176482811	4.48111526252012e-05	0.0069556866908229	0	0	0	0	0.634774590192431	5.36284767265662	7.0213556089747	3.74365501269332	4.7821651260474	9.34833457494674
sus_circFBN2_19	2:131354294|131363905	5.54597830525135	-5.57870344279921	1.15732466782937	-4.82034436651419	1.43310622310034e-06	0.000572014112477479	0	0	1.01559340890998	0	0	26.8142383632831	9.0274572115389	1.24788500423111	9.56433025209481	7.79027881245562
sus_circHSPBAP1_18	13:137806868|137808141	3.51029574907787	-4.93948857366252	1.17815059726293	-4.19257825369515	2.75801898252139e-05	0.00481619064822798	0	0	0	0.892551389846602	0	2.68142383632831	9.0274572115389	9.98308003384885	2.3910825630237	10.1273624561923
sus_circHSPG2_9	6:79875804|79876991	2.99330443933136	-4.68449189547444	1.26738448495131	-3.69618845038522	0.000218860542228974	0.0223094260130517	0	0	0	0	0.634774590192431	13.4071191816415	6.0183048076926	0	5.97770640755926	3.89513940622781
sus_circIL18BP,RNF121_9	9:6555049|6561930	13.3337081016188	-1.73361545789878	0.499443107836959	-3.47109696919616	0.000518336782532134	0.041351035761732	4.17398730820327	4.401043081002	6.09356045345989	9.81806528831262	6.34774590192431	18.7699668542982	7.0213556089747	26.2055850888532	28.6929907562844	21.8127806748757
