circ_name	circ_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	M30_1SF	M30_2SF	M30_3SF	M30_2PF	M30_3PF	M30_4PF	Y30_1SF	Y30_2SF	Y30_3SF	Y30_1PF	Y30_2PF
sus_circAIDA_8	10:11446256|11459646	7.20557098088504	2.34772867758123	0.631839022147801	3.71570700017962	0.000202636291736428	0.0147154386756327	9.73968961681161	11.7169106818861	6.97624438290123	17.5818417325011	8.7576980337062	13.1225423428948	1.5406011344984	2.35564648560387	2.9613525305595	2.69090228267367	1.81785156569902
sus_circANTXR2_3	8:137747353|137749645	27.070251175896	1.33292594987302	0.395382055457639	3.37123531903898	0.000748319076516617	0.0370546093165468	34.5316268232412	42.1808784547898	32.8880092336772	69.6240932607045	21.0184752808949	23.3745285482814	9.24360680699042	15.3117021564252	20.7294677139165	16.145413696042	12.7249609598931
sus_circARFGAP3_15	5:6010064|6020984	2.98951586264127	4.55725788890529	1.12955135219236	4.03457344374829	5.47015787896518e-05	0.00714832417111914	7.08341063040844	8.59240116671644	3.98642536165784	1.40654733860009	5.25461882022372	6.5612711714474	0	0	0	0	0
sus_circARHGAP12_17	10:42468077|42490463	30.3827759060668	1.13810286910939	0.324679958893685	3.50530680423691	0.000456081376636736	0.0245412023104973	42.5004637824507	26.5583308789417	33.8846155740917	37.2735044729024	50.7946485954959	52.0800899233637	16.9466124794824	18.845171884831	17.768115183357	12.1090602720315	25.4499219197862
sus_circASCC3_66	1:67576479|67584208	5.61560201639407	3.29069047790648	0.858826664610977	3.83161191134775	0.00012730644299066	0.0116453568725706	8.85426328801055	5.46789165154682	9.96606340414461	10.5491050395007	8.7576980337062	13.5326217911103	0	0	1.48067626527975	1.34545114133684	1.81785156569902
sus_circATAD2B_130	3:114813776|114839309	7.81417649947184	2.15866341907385	0.575130217880978	3.75334724547647	0.000174488878748974	0.013807126795076	15.937673918419	13.2791654394709	9.96606340414461	9.84583137020063	12.2607772471887	11.4822245500329	1.5406011344984	2.35564648560387	2.9613525305595	2.69090228267367	3.63570313139803
sus_circATRX_46	X:61688015|61691522	10.1921253147595	3.10378290850909	0.619788303613501	5.00781136141705	5.5052449689173e-07	0.000201436913412684	23.0210845488274	16.4036749546405	13.9524887658025	16.8785680632011	15.7638564606712	16.4031779286185	0	2.35564648560387	1.48067626527975	4.03635342401051	1.81785156569902
sus_circATRX_49	X:61688015|61702090	4.9160882802604	3.45787904978457	0.952822628051245	3.62908997748802	0.000284422100131347	0.0185839368639393	6.19798430160739	12.4980380606785	6.97624438290123	7.7360103623005	9.63346783707682	6.97135061966286	1.5406011344984	1.17782324280194	0	1.34545114133684	0
sus_circBRD4_9	2:62312200|62313757	6.21769107413815	4.40311630333349	1.11399892577662	3.95253191134262	7.7328612760629e-05	0.00857410285124671	3.54170531520422	17.1848023334329	6.97624438290123	16.175294393901	1.75153960674124	19.6838135143422	3.08120226899681	0	0	0	0
sus_circCYTH3_4	3:4974527|4985274	13.5522565564578	1.88195534904226	0.558304721601233	3.37083903507884	0.000749396307577061	0.0370546093165468	28.3336425216338	30.4639677729037	29.8981902124338	14.768747055301	8.7576980337062	9.02174786074017	6.16240453799361	8.24476269961355	4.44202879583925	8.07270684802101	0.908925782849508
sus_circDDX1_20	3:121848912|121853120	10.2369793519309	2.17681244023436	0.598297744477726	3.63834304963756	0.000274397769179284	0.0185839368639393	15.0522475896179	14.0602928182633	20.9287331487037	4.92291568510032	14.8880866573005	25.0148463411432	6.16240453799361	5.88911621400968	2.9613525305595	0	2.72677734854852
sus_circDNM3_7	9:114390363|114391922	18.0181428140716	2.16410367707888	0.654028482050949	3.30888292554559	0.000936689965811301	0.0423129454926364	8.85426328801055	10.9357833030936	9.96606340414461	63.9979039063041	29.7761733146011	43.468421510839	4.62180340349521	5.88911621400968	0	16.145413696042	4.54462891424754
sus_circENSSSCG00000000406_8	5:22008784|22009750	32.1135834956298	2.10395752033675	0.529277111826527	3.97515304048578	7.03340130501789e-05	0.00841257235103705	38.9587584672464	11.7169106818861	61.7895931056966	52.0422515282034	74.4404332865027	55.7708049573029	26.1902192864728	2.35564648560387	17.768115183357	4.03635342401051	8.18033204564557
sus_circENSSSCG00000014969_2	9:27836847|27837513	40.7476073860279	1.0793678822525	0.306083700218507	3.52638144887153	0.00042127972517838	0.0230069032004133	46.0421690976549	63.2713176821847	42.8540726378218	62.591356567704	45.5400297752722	61.5119172323194	10.7842079414888	27.0899345844445	37.0169066319938	21.5272182613894	29.9945508340338
sus_circENSSSCG00000015313_17	9:72153385|72160471	13.7204831936126	2.83068431887829	0.726381528659574	3.89696627349802	9.74051775785722e-05	0.00963258229081069	34.5316268232412	19.5281844698101	21.9253394891181	27.4276731027018	7.88192823033558	25.4249257893587	0	0	1.48067626527975	0	12.7249609598931
sus_circENSSSCG00000017608_5	12:32060088|32067455	48.57247930179	1.62211364520608	0.349944852339222	4.63534078116307	3.56349923379402e-06	0.000869256246430155	38.0733321384454	64.8335724397695	78.7319008927424	83.6895666467054	66.5585050561671	89.3973197109708	18.4872136139808	40.0459902552658	8.88405759167851	22.8726694027262	22.7231445712377
