circ_name	circ_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	M300_1SF	M300_2SF	M300_3SF	M300_1PF	M300_2PF	M300_3PF	Z300_1SF	Z300_3SF	Z300_1PF	Z300_2PF	Z300_3PF
sus_circ7:78055271|78056399	7:78055271|78056399	31.0219122789547	2.00381895852188	0.40902357355325	4.89903049135871	9.6310699050409e-07	0.000399154341620028	37.2479193016886	40.5925432858596	48.2099094333295	45.1751136928943	26.285240128424	83.9027320680042	4.73246684076255	11.5252287082145	17.7203158075792	18.6163417908752	7.23322401086998
sus_circACVR2A_15	15:4207163|4211249	19.578267019891	1.62695554804414	0.379796450633931	4.28375658942713	1.83763949291019e-05	0.00489599664896786	15.2811976622312	29.767865076297	37.0845457179458	36.6284705618062	19.4282209644873	31.6475217449489	10.6480503917157	7.88568280035732	9.32648200398904	11.635213619297	6.02768667572498
sus_circAPBB2_6	8:31993513|31997428	13.9886909170452	1.93269231434688	0.483709951563069	3.99556037270175	6.45414064249467e-05	0.0141611438802971	20.0565719316785	18.0411303492709	32.1399396222197	13.4304392059956	12.5712018005506	28.7035662337909	1.77467506528596	4.85272787714297	5.59588920239342	4.65408544771881	12.05537335145
sus_circARFGAP3_14	5:6010064|6014815	9.99526719321209	2.35393285768552	0.56022872382998	4.20173539406005	2.64876629790574e-05	0.00658659886079228	13.3710479544523	27.9637520413699	17.3061213350414	12.2094901872687	11.4283652732278	12.5118109224217	3.54935013057191	1.81977295392861	7.46118560319123	2.3270427238594	0
sus_circATP2C1_56	13:1529653|1540269	8.36416446385703	2.49242939941468	0.638115170360257	3.905924063845	9.38659876940488e-05	0.0184273754788843	10.505823392784	5.41233910478128	24.7230304786305	18.3142352809031	11.4283652732278	8.83186653347413	1.77467506528596	0.606590984642871	0.932648200398904	4.65408544771881	4.82214934057999
sus_circCREB5_7	18:44166842|44186515	4.57231036501678	5.74145922167846	1.29514555140006	4.43306099107695	9.29045705846591e-06	0.00304071528811906	0.95507485388945	3.60822606985419	6.18075761965763	0	15.9997113825189	23.5516440892643	0	0	0	0	0
sus_circENSSSCG00000017608_5	12:32060088|32067455	59.3767160260368	1.9053834263945	0.423149142049519	4.50286491700252	6.70435001882301e-06	0.00250072255702098	60.1697157950354	141.622873241777	45.7376063854665	75.6988391610661	89.141249131177	122.910142590848	29.5779177547659	39.4284140017866	9.32648200398904	6.98112817157821	32.5495080489149
sus_circHSD17B7_9	4:87720879|87733052	2.7380635393104	4.38667311487927	1.16545754857469	3.76390639045067	0.000167279524109318	0.027128374996859	0.95507485388945	9.02056517463547	3.70845457179458	6.10474509363436	4.57134610929113	5.15192214452657	0	0.606590984642871	0	0	0
sus_circKATNBL1_13	7:80344261|80346071	6.86712313914792	2.88923244744883	0.80211566164244	3.60201475374853	0.000315760438847915	0.0452994783424125	10.505823392784	3.60822606985419	22.2507274307675	1.22094901872687	5.71418263661391	25.0236218448434	2.36623342038127	1.81977295392861	1.86529640079781	1.1635213619297	0
sus_circMGA_57	1:129687076|129688206	41.6398804280178	1.21670086018649	0.321394893698131	3.78568821111786	0.000153283767287914	0.0270103241715835	74.4958386033771	46.0048823906409	84.0583036273438	50.0589097678018	39.9992784562974	44.1593326673706	36.6766180159097	22.4438664317862	23.3162050099726	15.1257777050861	21.6996720326099
