circ_name	circ_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	M30_1SF	M30_2SF	M30_3SF	M30_2PF	M30_3PF	M30_4PF	Z30_1SF	Z30_2SF	Z30_3SF	Z30_1_PF	Z30_3PF
sus_circ7:78055271|78056399	7:78055271|78056399	34.4770395909252	1.82581770896103	0.38284687244714	4.7690547849862	1.85092323463054e-06	0.000796170759469463	30.8996648810799	52.8321240674592	57.8245570129413	56.5588159885384	49.2096942427208	58.6909712870314	5.36738047299446	8.77389577633453	29.2014861785108	12.2773273856092	17.6115182069569
sus_circACACA_110	12:38796303|38800438	28.0694555293848	2.59225812377969	0.580896799212145	4.4625105996375	8.1004920179587e-06	0.00264413560286202	82.7313608106332	30.4456308185358	77.8861380174311	19.3915940532132	54.1306636669929	6.62639998401967	2.30030591699763	7.31157981361211	10.6187222467312	5.58060335709508	11.7410121379713
sus_circACTR6_12	5:83923357|83925966	3.56376566953472	5.04356679387064	1.1489090950414	4.38987454763678	1.13416072495082e-05	0.0031732196854517	2.99029014978192	1.79091945991387	12.9810230029052	11.3117631977077	4.92096942427208	5.20645713030117	0	0	0	0	0
sus_circADAMTS19_26	2:132325084|132337186	11.3864017793292	2.26991848330303	0.548445774096246	4.13882026357757	3.4909629992831e-05	0.00759672337121773	11.9611605991277	26.8637918987081	23.6018600052822	8.88781394105603	23.620653236506	12.3061713988937	4.60061183399525	1.46231596272242	6.636701404207	1.11612067141902	4.19321862070403
sus_circAMN1_5	5:42541717|42543247	2.17513874946933	4.36165009025318	1.21044748999819	3.6033368868068	0.000314157923236905	0.0300135752516819	2.99029014978192	1.79091945991387	3.54027900079232	1.6159661711011	6.88935719398091	7.09971426859251	0	0	0	0	0
sus_circARFGAP3_15	5:6010064|6020984	3.54236676462747	4.42392705150728	1.10943390309936	3.98755350737744	6.67581510858456e-05	0.0108954865751357	7.97410706608512	9.85005702952629	4.72037200105643	1.6159661711011	5.9051633091265	7.57302855316534	0	0	1.3273402808414	0	0
sus_circATP11B_31	13:120778216|120779879	18.0115071300414	1.66357162679853	0.490797129787579	3.38953006411944	0.000700125312985856	0.0481121201923789	12.9579239823883	28.6547113586219	12.9810230029052	43.6310866197296	18.6996838122339	40.2317141886909	6.90091775099288	7.31157981361211	6.636701404207	3.34836201425705	16.7728744828161
sus_circBMP2K_15	8:138729748|138744340	4.84688686688707	3.10603278689017	0.908172701139258	3.4200904552557	0.000626003164363784	0.0455207550286978	12.9579239823883	3.58183891982774	4.72037200105643	4.03991542775274	7.87355107883533	16.0926856754763	1.53353727799842	0	0	0	2.51593117242242
sus_circCDC42BPA_100	10:14786194|14794270	3.94124962742436	5.19654671661933	1.09397403405171	4.75015544690131	2.032603419631e-06	0.000796170759469463	4.9838169163032	9.85005702952629	5.90046500132054	12.9277293688088	5.9051633091265	3.78651427658267	0	0	0	0	0
sus_circCDK19_37	1:76723120|76750287	19.8291899978129	1.94135445428169	0.47385968697524	4.09689726229682	4.18724621468947e-05	0.00820072171146933	20.9320310484735	11.6409764894402	35.4027900079232	21.8155433098648	46.2571125881575	42.598285611555	8.4344550289913	14.6231596272242	6.636701404207	2.23224134283803	7.54779351726725
