circ_name	circ_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Z300_1SF	Z300_3SF	Z300_1PF	Z300_2PF	Z300_3PF	Y300_1SF	Y300_2SF	Y300_3SF	Y300_1PF	Y300_2PF	Y300_3PF
sus_circABCA6_36	12:11253178|11268222	88.6507066310337	1.96888699337271	0.365006316576835	5.3941175918205	6.88611122611969e-08	4.86257825581566e-05	127.750763063456	223.09177299941	127.651616059148	111.756115286833	157.180440209737	56.2150246035545	34.0790637133574	11.9619792257204	62.2695797509409	37.1496915579071	26.051726471305
sus_circAPBB2_8	8:31993513|32030616	17.8890377440165	1.97458734022776	0.582969173616938	3.38712136008281	0.000706301368201757	0.0471790224732606	20.2778988989613	34.0078922255198	11.7997292155515	21.8374018376571	64.2389625205014	5.6926607193473	0	16.3117898532551	1.61739168184262	7.28425324664844	13.7114349848974
sus_circARSB,DMGDH_15	2:87745803|87760449	8.02795042818233	3.1214941533914	0.850730373240343	3.6691932621401	0.000243317090171298	0.0235826740532691	9.46301948618195	3.40078922255198	6.43621593575537	5.13821219709578	53.3046710276501	0.711582589918412	2.12994148208484	0	4.85217504552786	2.18527597399453	0.685571749244869
sus_circASH1L_31	4:94405984|94418263	14.8917416324157	1.70891144193581	0.442178119856748	3.86475803571974	0.000111199378947294	0.0157045294324707	22.3056887888574	12.9229990456975	20.3813504632253	38.5365914782183	24.6021558589154	2.84633035967365	10.6497074104242	10.8745265688367	7.27826256829179	6.5558279219836	6.85571749244869
sus_circATRX_49	X:61688015|61702090	10.8029387424285	2.19082800235872	0.46606768282269	4.70066491006243	2.59315740879577e-06	0.000674630372193553	17.5741790457665	14.2833147347183	17.1632424953477	20.5528487883831	23.235369422309	4.98107812942888	8.51976592833936	2.17490531376734	3.23478336368524	4.37055194798906	2.74228699697947
sus_circBRD4_9	2:62312200|62313757	6.89398789843291	2.02840400999732	0.597208046724198	3.39647802993196	0.000682590367624909	0.0468617248218045	12.1667393393768	17.6841039572703	6.43621593575537	12.8455304927394	8.20071861963847	4.26949553951047	6.38982444625452	1.08745265688367	2.42608752276393	3.64212662332422	0.685571749244869
sus_circCARF_13	15:106414678|106437731	11.9321209832475	2.55361930287579	0.499605229539739	5.11127416586153	3.19993191699745e-07	0.000131810528880986	25.685338605351	16.3237882682495	22.5267557751438	24.4065079362049	21.8685829857026	1.42316517983682	0	2.17490531376734	5.66087088644917	3.64212662332422	7.54128924169355
sus_circCARF_22	15:106414678|106465899	6.25495043232906	3.68401248860585	0.979589282420463	3.76077255510905	0.000169389397114314	0.0204217509740501	18.2501090090652	17.6841039572703	4.29081062383691	23.121954886931	0	0	0	0	4.04347920460655	0.728425324664844	0.685571749244869
sus_circCPQ_27	4:39934333|39947397	4.68773777115974	3.72660829544226	0.846446473793011	4.40265085959063	1.06936181983188e-05	0.00220243978142875	9.46301948618195	5.44126275608317	10.7270265595923	14.1300835420134	8.20071861963847	1.42316517983682	0	0	0.80869584092131	0	1.37114349848974
sus_circCYP2D25,NDUFA6,TCF20_2	5:6519442|6566862	4.67573020564781	5.8753673799404	1.07873565403574	5.44653118487332	5.1361601742723e-08	4.23133995690466e-05	8.78708952288324	4.76110491157278	4.29081062383691	8.99187134491761	24.6021558589154	0	0	0	0	0	0
