circ_name	circ_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	W180_1SF	W180_2SF	W180_3SF	W180_1PF	W180_2PF	W180_3PF	Y180_1SF	Y180_2SF	Y180_3SF	Y180_1PF	Y180_2PF	Y180_3PF
sus_circ13:173598529|173601872	13:173598529|173601872	5.28140847220652	4.56264688806655	0.996279912185579	4.57968371364358	4.65679597859707e-06	0.000672993255869843	8.57103312265324	10.0638667221349	21.2694559870285	3.07267237183404	5.67218069740794	12.7389658351981	0	0	0	1.98872693022142	0	0
sus_circ9:121637358|121643233	9:121637358|121643233	2.03124589006681	4.25481231756893	1.1561207875065	3.68024895283273	0.000233006358267529	0.0159507159642087	3.4284132490613	0.838655560177912	5.06415618738774	7.51097690892765	1.41804517435199	6.11470360089509	0	0	0	0	0	0
sus_circABCA6_36	12:11253178|11268222	59.7686689203591	1.7482540602891	0.290555057810784	6.01694588785167	1.77738461960471e-09	6.93535478569758e-07	73.7108848548179	90.5748004992145	49.6287306363999	139.635888897791	116.988726884039	82.5484986120838	32.8282975898663	32.0748238114409	14.7408692332591	29.8309039533214	28.7795437164301	25.8820583556446
sus_circACACA_110	12:38796303|38800438	83.2818368626541	1.34178025715426	0.37576208681578	3.57082394481186	0.000355860036594511	0.020724863623758	185.13431544931	87.2201782585029	133.693723347036	101.739596311838	101.390229966167	103.949961215217	19.5406533273014	18.9533049794878	71.8617375121383	39.7745386044285	104.325845972059	31.7979574083634
sus_circATRX_46	X:61688015|61691522	10.2309091455114	2.21066634290803	0.477353385018784	4.63108969641231	3.63746238982991e-06	0.000545899163273705	23.9988927434291	17.6117667637362	7.08981866234284	20.1430744375787	16.3075195050478	16.3058762690536	4.68975679855233	2.91589307376736	3.68521730831479	1.98872693022142	3.59744296455377	4.43692428953908
sus_circBAG1_3	10:33229551|33237248	2.52110136965493	3.98478485675327	1.19972052590822	3.32142759142732	0.000895582169974153	0.0392647373847095	5.14261987359194	4.19327780088956	8.10264989982039	0	8.50827104611191	3.56691043385547	0	0	0	0	0	0.739487381589846
sus_circBBS9_30	18:40367081|40381716	4.23423778957726	3.75379470142804	1.0382452616724	3.61551825951168	0.000299747344879647	0.0188647441890384	5.14261987359194	17.6117667637362	1.01283123747755	7.16956886761275	14.1804517435199	2.0382345336317	0	2.91589307376736	0	0	0	0.739487381589846
sus_circBTAF1_8	14:103551372|103564282	7.05895054465473	3.02181155556849	0.793195366295382	3.80966869446283	0.000139153134214233	0.0106465790138027	1.71420662453065	4.19327780088956	20.256624749551	24.5813789746723	9.9263162204639	13.758083102014	0	4.37383961065104	3.68521730831479	0	0	2.21846214476954
sus_circC18orf25_1	1:95846715|95847499	14.6755595132545	1.32156522560908	0.402110191267395	3.28657481036153	0.00101413832293806	0.0432162845836768	30.8557192415517	22.6437001248036	27.3464434118938	12.9735055699659	19.8526324409278	15.2867590022377	12.5060181294729	2.91589307376736	3.68521730831479	7.95490772088569	8.99360741138442	11.0923107238477
sus_circCARF_13	15:106414678|106437731	11.6007294015865	3.04522212802567	0.524207144815773	5.80919615106713	6.27735089667258e-09	2.22674756352876e-06	27.4273059924904	19.289077884092	17.2181310371183	20.4844824788936	15.5984969178718	23.4396971367645	2.34487839927617	5.83178614753472	0	3.97745386044285	3.59744296455377	0
sus_circDCAF6_2	4:82918471|82923165	3.63852784373462	4.00912013689793	0.984687545626194	4.07146424742115	4.67185337643145e-05	0.00467424919867577	11.9994463717145	9.22521116195704	5.06415618738774	7.16956886761275	3.54511293587996	5.09558633407924	1.56325226618411	0	0	0	0	0
sus_circDDX1_16	3:121846276|121850838	2.62623679455692	4.59874679000703	1.09403210975376	4.20348429356621	2.62837398069441e-05	0.00330835976537729	3.4284132490613	9.22521116195704	6.07698742486529	7.51097690892765	4.25413552305596	1.01911726681585	0	0	0	0	0	0
sus_circDNM3_7	9:114390363|114391922	11.1238748183772	2.3474780672052	0.583983154309245	4.01977017638784	5.82549415195072e-05	0.00550272451229941	11.9994463717145	11.7411778424908	8.10264989982039	17.7532181483744	41.8323326433836	20.8919039697249	0.781626133092055	2.91589307376736	0	7.95490772088569	3.59744296455377	5.91589905271877
