circ_name	circ_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	W300_1SF	W300_2SF	W300_3SF	W300_1PF	W300_2PF	W300_3PF	Y300_1SF	Y300_2SF	Y300_3SF	Y300_1PF	Y300_2PF	Y300_3PF
sus_circ15:6706213|6711395	15:6706213|6711395	29.203535429468	2.1469284999452	0.447219429503323	4.8006154435856	1.58178758697655e-06	0.000297801932240392	64.5125047272428	52.9330152100786	41.3381259885239	42.3913416019851	28.9406323122211	54.9342779521123	0	12.7584518537388	14.8016376378229	12.4313872425766	12.3578819526614	13.0431686746519
sus_circABCA6_36	12:11253178|11268222	69.8901672905075	1.69481037818429	0.384732845005503	4.40516166006063	1.05705017700454e-05	0.001437294615677	68.8133383757257	184.062530162319	86.9160597707426	90.0816009042183	144.703161561106	67.4906843411666	50.055910227645	29.1621756656888	10.1761258760033	53.1787120932444	31.5125989792867	22.5291095289442
sus_circABCB7_16	X:60240445|60257143	3.10517275065097	3.52090408877383	0.925850123641241	3.80288774486155	0.000143019171308508	0.0109387319305491	2.8672224323219	3.609069218869	4.23980779369476	10.5978354004963	4.82343871870352	8.37093759270283	0	0	0.925102352363933	0	1.23578819526614	0.592871303393267
sus_circADAM17_14	3:126820032|126826034	1.56256776420931	3.89983485430681	1.19643960724697	3.25953339448565	0.00111595642065059	0.0462932769413951	2.8672224323219	3.609069218869	4.23980779369476	0	3.21562581246901	4.18546879635142	0.633619116805633	0	0	0	0	0
sus_circAGAP1_13	15:135707739|135716699	3.94989916424836	3.07917045706504	0.837419518992693	3.6769747865071	0.000236016358511777	0.01667749115232	1.43361121616095	3.609069218869	9.53956753581322	11.9225648255583	9.64687743740703	6.80138679407105	0	0	0	1.38126524917518	2.47157639053229	0.592871303393267
sus_circAIDA_8	10:11446256|11459646	4.91612992277511	2.20311835368723	0.643206990631069	3.42520896970613	0.00061432671024012	0.0323347230819934	10.0352785131267	7.21813843773799	6.35971169054214	9.27310597543424	6.43125162493802	9.41730479179069	0.633619116805633	0	3.70040940945573	3.45316312293795	2.47157639053229	0
sus_circATRX_46	X:61688015|61691522	15.3125821325515	1.36884589619587	0.38855330407242	3.52292949731482	0.000426804879815605	0.0251712034541854	25.8050018908971	32.481622969821	23.3189428653212	21.1956708009925	11.2546903436415	17.2650587849496	11.4051441025014	10.9358158746333	12.9514329330951	6.21569362128831	6.17894097633072	4.74297042714614
sus_circATRX_49	X:61688015|61702090	8.77078115195388	1.99769216913781	0.466314890166852	4.28399824080895	1.83564363869199e-05	0.00213939895509459	14.3361121616095	16.8423230213887	13.779375329508	6.62364712531017	16.0781290623451	15.1723243867739	4.43533381763943	7.2905439164222	1.85020470472787	2.76253049835036	3.70736458579843	2.37148521357307
sus_circBCO1_8	6:7029994|7037336	2.76177821486792	4.68475235540107	1.34626689515565	3.47980951790354	0.000501770396426075	0.0286291093740793	8.60166729696571	13.2332538025197	0	2.64945885012407	8.03906453117253	0	0	0	0	0	0.617894097633072	0
sus_circBNC2_5	1:206097434|206114157	2.7994283203138	3.3156319925412	0.962152409395402	3.44605694499553	0.000568830479011859	0.0316411953950347	4.30083364848286	2.40604614591266	8.47961558738953	2.64945885012407	4.82343871870352	7.84775399315891	0	0	1.85020470472787	0	1.23578819526614	0
sus_circC4BPA_5	9:67773869|67826688	83.1937812656198	10.1355138302519	2.52442166031671	4.014984497075	5.94497023488898e-05	0.00606263110412116	157.697233777705	108.27207656607	287.24697802282	445.109086820843	0	0	0	0	0	0	0	0
sus_circCARF_13	15:106414678|106437731	11.9112786995324	2.68343816931623	0.462708039296514	5.79941980994332	6.65447502775639e-09	3.05658144180017e-06	15.7697233777705	19.2483691673013	25.4388467621686	19.8709413759305	24.1171935935176	20.9273439817571	1.26723823361127	0	1.85020470472787	4.83442837211313	3.08947048816536	6.52158433732594
sus_circCCDC81,HIKESHI_43	9:20275561|20278374	3.89776309521879	5.72574620800787	1.17446434993902	4.87519796433596	1.08699392081973e-06	0.000220437251139066	15.7697233777705	7.21813843773799	15.8992792263554	0	1.60781290623451	6.27820319452712	0	0	0	0	0	0
sus_circCOG1_3	12:7756469|7757319	1.4684848949386	4.32243434621395	1.28382292567751	3.36684620578253	0.000760330781864361	0.0357867228579427	5.73444486464381	0	2.11990389684738	3.9741882751861	1.60781290623451	4.18546879635142	0	0	0	0	0	0
sus_circCPQ_27	4:39934333|39947397	3.15026859568213	3.23550557267914	0.89317795862644	3.62246464036664	0.000291809359807802	0.0193027948143134	4.30083364848286	1.20302307295633	9.53956753581322	5.29891770024813	8.03906453117253	6.27820319452712	1.26723823361127	0	0	0.69063262458759	0	1.18574260678653
sus_circDCAF6_2	4:82918471|82923165	6.27854825460114	5.91071895866352	0.941128196782043	6.28046102419816	3.37570503665186e-10	3.13120904905883e-07	7.16805608080476	15.6392999484323	12.7194233810843	15.8967531007444	12.862503249876	10.4636719908785	0	0	0	0	0	0.592871303393267
sus_circDDHD1_23	1:182709191|182720865	5.34204753064672	2.69065345472916	0.746232697461363	3.60564936900058	0.000311373327420038	0.0203222991696145	14.3361121616095	3.609069218869	2.11990389684738	7.9483765503722	9.64687743740703	18.3114259840374	1.9008573504169	0	0.925102352363933	3.45316312293795	1.85368229289922	0
sus_circDDX1_16	3:121846276|121850838	1.94968795469585	4.69461041071792	1.1502557142132	4.08136238986575	4.47724831102555e-05	0.00476437619184132	1.43361121616095	6.01511536478166	2.11990389684738	2.64945885012407	8.03906453117253	3.13910159726356	0	0	0	0	0	0
sus_circDISP1_5	10:11654269|11654794	2.18675730388822	4.31128656274331	1.20559834531205	3.5760554744519	0.00034881766224991	0.0218905443168373	2.8672224323219	12.0302307295633	2.11990389684738	0	3.21562581246901	4.18546879635142	0	1.82263597910555	0	0	0	0
sus_circDZIP1L_4	13:78881041|78881367	3.14534859792364	4.35446384834913	1.16366488129076	3.74202566250782	0.000182542868729885	0.0135385960974665	18.6369458100924	4.81209229182533	7.41966363896583	1.32472942506203	1.60781290623451	2.09273439817571	0	0	1.85020470472787	0	0	0
sus_circEHBP1_21	3:78971737|78998646	12.386336728274	1.62289843505334	0.490652744438943	3.3076314225229	0.000940885526794875	0.0400489969883558	38.7075028363457	12.0302307295633	26.4987987105923	13.2472942506203	8.03906453117253	13.6027735881421	2.53447646722253	7.2905439164222	3.70040940945573	10.3594893688138	4.3252586834315	8.30019824750574
sus_circENSSSCG00000006510_27	4:94216682|94220967	25.82898680677	1.4013489357834	0.391754725027274	3.57710793580304	0.000347416744316139	0.0218905443168373	35.8402804040238	32.481622969821	38.1582701432529	39.741882751861	48.2343871870352	31.9141995721796	3.16809558402816	9.11317989552775	12.0263305807311	16.5751829901022	14.8294583431937	27.8649512594836
sus_circENSSSCG00000011237_32	13:19630228|19633159	3.3480654528494	5.49184062513005	1.02447842947141	5.36062104105368	8.29363347142767e-08	2.7064890561759e-05	4.30083364848286	9.62418458365066	3.17985584527107	6.62364712531017	9.64687743740703	6.80138679407105	0	0	0	0	0	0
sus_circENSSSCG00000012452_6	X:64707443|64717003	2.45904783221765	5.02237720506127	1.26870472576654	3.95866516696924	7.53698114932739e-05	0.0070256222739265	11.4688897292876	0	3.17985584527107	10.5978354004963	3.21562581246901	1.04636719908785	0	0	0	0	0	0
sus_circENSSSCG00000012693_6	X:110890003|110963021	5.65488227297568	6.26799517902063	1.07471947855783	5.83221510736147	5.46963421923722e-09	3.02799551224346e-06	0	9.62418458365066	20.1390870200501	18.5462119508685	8.03906453117253	11.5100391899664	0	0	0	0	0	0
sus_circENSSSCG00000017608_5	12:32060088|32067455	37.6038839945923	2.10708933214769	0.361467600982336	5.82926194884795	5.56730533405336e-09	3.02799551224346e-06	68.8133383757257	56.5420844289476	42.3980779369476	59.6128241277915	64.3125162493802	75.3384383343255	8.23704851847322	12.7584518537388	5.5506141141836	23.481509235978	24.7157639053229	9.48594085429228
