circ_id	circ_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	M180_1SF	M180_2SF	M180_3SF	M180_1PF	M180_2PF	M180_3PF	M30_1SF	M30_2SF	M30_3SF	M30_2PF	M30_3PF	M30_4PF
1:82875117|82891579	sus_circME1_14	737.233227339533	3.04983181332023	0.469283354410665	6.49891325710938	8.09022900333269e-11	1.85670755626485e-07	1529.34130742285	2512.67563146209	1171.59352957104	485.666428117912	1138.72248310063	1053.8497434466	447.204125939847	118.898737888562	193.896823389703	77.0813268346233	81.6410534848119	36.2275374157206
1:94557868|94561324	sus_circSETBP1_13	23.1112145383186	1.51812452122643	0.407002900579566	3.7300090959171	0.000191472858098393	0.023869643496151	43.4231257647763	43.2772241037219	51.5534413295986	7.58853793934237	33.5424296381607	25.4747393454013	14.4259395464467	11.9897886946449	16.693104000438	7.2547131138469	12.1358322747693	9.97569870867668
12:38711800|38716290	sus_circACACA_51	20.9386745078123	2.122407496419	0.405562866853592	5.23323920871974	1.66564953859672e-07	0.000191133284553973	31.7730188522753	33.7562348009031	28.2712420194573	40.9781048724488	24.9418066540169	42.9048241606759	17.7550025187036	2.99744717366122	10.2726793848849	4.53419569615431	9.92931731572036	3.15022064484527
12:38796303|38800438	sus_circACACA_110	99.9250924523448	1.5931858260385	0.428040131263768	3.72204779335689	0.000197613606286217	0.023869643496151	172.633402430696	192.150875020525	97.2863328316619	109.27494632653	182.333207263848	144.803781542281	92.104075565775	33.9710679681605	84.7496049253008	21.7641393415407	60.6791613738467	7.35051483797229
13:95702963|95703536	sus_circENSSSCG00000025316_12	20.8879249634237	1.20458785475569	0.35270975351789	3.41523828797263	0.000637262357838952	0.0471779713303353	29.654817595457	38.0839572112753	40.7438487927473	30.3541517573695	18.9213705651163	17.4300848152746	14.4259395464467	17.9846830419673	3.85225476933185	11.7889088100012	13.2390897542938	14.1759929018037
2:70501959|70505522	sus_circ2:70501959|70505522	16.8763646502279	2.39463078977902	0.531381831628844	4.50642202507895	6.59298972309649e-06	0.00216155877350092	54.0141320488681	6.05881137452107	31.5972704923346	39.4603972845803	18.9213705651163	18.7708605702957	3.32906297225693	4.99574528943536	14.1249341542168	3.62735655692345	5.51628739762242	2.10014709656351
4:16108248|16121954	sus_circZHX1_2	19.0204136728293	1.70543529789688	0.456464168703147	3.73618657241414	0.000186832068008775	0.023869643496151	56.1323333056864	32.8906903188286	12.47260677329	37.1838359027776	21.5015574603594	13.4077575502112	16.6453148612846	7.99319246309658	10.2726793848849	9.97523053153949	6.61954487714691	3.15022064484527
4:30775953|30789111	sus_circOXR1_12	12.6804682443096	2.16511777486113	0.465971419642725	4.64646045571034	3.37678827256407e-06	0.00184451428229246	32.8321194806845	16.4453451594143	17.461649482606	10.6239531150793	23.2216820571881	22.7931878353591	7.76781360193283	6.99404340520951	6.42042461555309	2.72051741769259	3.30977243857345	1.57511032242263
4:30775953|30818482	sus_circOXR1_16	19.0976599329942	2.06504507075347	0.409763209244343	5.03960586056929	4.6649154280671e-07	0.000356866030247133	36.0094213659121	43.2772241037219	23.2821993101413	29.5952979634353	24.9418066540169	26.8155151004224	17.7550025187036	6.99404340520951	5.13633969244247	1.81367827846173	8.82605983619588	4.7253309672679
4:30784480|30789111	sus_circOXR1_22	8.36228257861261	2.9183558899556	0.6781891422741	4.3031592634612	1.68379720572092e-05	0.00483039323391189	19.0638113113652	32.0251458367542	13.3041138915093	6.0708303514739	9.46068528255813	9.38543028514785	5.54843828709488	0	0	1.81367827846173	0	3.67525741898615
4:30784480|30796077	sus_circOXR1_23	23.5591536761595	1.491571748075	0.418651132649012	3.56280356543427	0.000366915236394585	0.0377662595101961	42.3640251363671	69.2435585659551	26.6082277830186	28.836444169501	25.8018689524313	14.7485333052323	24.4131284632175	16.9855339840802	8.98859446177432	9.06839139230863	8.82605983619588	6.82547806383142
4:30784480|30818482	sus_circOXR1_25	8.06376237975612	2.03446330296473	0.573778433910868	3.54572981960622	0.000391527413082803	0.0377662595101961	23.3002138250019	22.5041565339354	8.31507118219332	8.34739173327661	7.74056068572938	6.70387877510561	4.4387506296759	2.99744717366122	3.85225476933185	3.62735655692345	4.41302991809794	0.525036774140878
4:30808728|30818482	sus_circOXR1_32	19.8054026728465	1.76567641170411	0.415736315546851	4.24710650880131	2.16549029880258e-05	0.00496980023575191	40.2458238795488	37.2184127292008	27.439734901238	30.3541517573695	17.2012459682875	32.1786181205069	14.4259395464467	11.9897886946449	7.70450953866371	3.62735655692345	1.10325747952448	14.1759929018037
9:31520031|31521019	sus_circ9:31520031|31521019	2.92836010027103	5.0421193846764	1.217716483772	4.14063491122164	3.46345834076738e-05	0.00704019245725168	0	6.05881137452107	2.494521354658	1.51770758786847	10.3207475809725	14.7485333052323	0	0	0	0	0	0
10:42061873|42079536	sus_circZEB1_7	21.0882893616075	-1.41244302920072	0.413467587916099	-3.41609129827931	0.000635269444392469	0.0471779713303353	6.35460377045507	3.46217792829775	14.967128127948	10.6239531150793	24.0817443556025	9.38543028514785	12.2065642316087	35.9693660839346	29.5339532315442	31.7393698730802	36.407496824308	38.3276845122841
