circ_id	circ_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Y300_1SF	Y300_2SF	Y300_3SF	Y300_1PF	Y300_2PF	Y300_3PF	Y30_1SF	Y30_2SF	Y30_3SF	Y30_1PF	Y30_2PF
1:166885040|166890686	sus_circNOX5_2	4.90520736614365	4.56886776458129	1.24298804128475	3.67571337199587	0.000237185705637462	0.0154626835021346	1.55290371936518	0	4.19676901482022	6.65757292480849	23.3134140433292	16.5398669441943	1.69675438106269	0	0	0	0
1:175149204|175149728	sus_circC14orf28_1	5.56201594398002	2.40126673453622	0.731345278162399	3.28335576401028	0.00102579122014253	0.0445824645677329	7.76451859682592	13.012978000719	10.0722456355685	7.86804072931912	7.21605672769714	7.01691324905214	1.69675438106269	2.55011653536895	1.54751209059021	1.45611259169764	0.980926845878852
1:82875117|82891579	sus_circME1_14	136.756843438269	2.81217219834186	0.489884559682162	5.74047934918872	9.44089337245950e-09	1.60023142663188e-05	109.738529501806	232.606981762852	348.331828230079	334.69434794719	89.9231684528413	229.052096772631	45.8123682886926	11.4755244091603	7.73756045295104	65.5250666263937	29.4278053763656
10:42468077|42490463	sus_circARHGAP12_17	41.1341450695723	1.56737830734347	0.352494956429011	4.44652690416331	8.72697417197089e-06	0.00185103587699443	55.3868993240249	69.9447567538646	41.9676901482023	40.5506714511062	98.8044690407763	47.6147684757109	18.6642981916896	20.4009322829516	18.5701450870825	13.1050133252787	27.4659516846079
10:53089612|53104147	sus_circMLLT10_11	4.80358734203904	3.35267992702596	0.969461130355477	3.45829226365849	0.000543611319175658	0.0297232640646045	7.76451859682592	3.25324450017975	10.0722456355685	9.07850853382975	7.77113801444308	10.5253698735782	3.39350876212538	0	0	0	0.980926845878852
10:8382470|8386109	sus_circTGFB2_7	7.17882474896983	2.31492252657744	0.684731494101466	3.38077413777378	0.000722819316603709	0.0360346688718614	10.8703260355563	9.75973350053924	16.7870760592809	9.68374243608507	6.10589415420527	13.5326184088863	6.78701752425075	0	1.54751209059021	2.91222518339528	0.980926845878852
11:21789455|21805764	sus_circCOG3_34	10.7521163055248	2.86616901955436	0.772833426198832	3.70865043150575	0.000208366855668002	0.0141272728142906	12.4232297549215	47.1720452526063	23.5019064829933	11.499444142851	8.32621930118901	4.00966471374408	0	6.37529133842238	1.54751209059021	1.45611259169764	1.9618536917577
11:69792527|69794145	sus_circNALCN_10	17.3190147882665	1.97118331978693	0.504226312354081	3.90932260274969	9.25552942530313e-05	0.0098050764849305	15.0114026205301	32.5324450017975	46.1644591630225	28.4459934059999	12.2117883084105	23.5567801932465	3.39350876212538	11.4755244091603	3.09502418118042	8.73667555018583	5.88556107527311
11:9894098|9895238	sus_circENSSSCG00000046743_6	3.48470971447119	4.63907310201458	1.07835377563685	4.30199551095823	1.6926674178773e-05	0.00286907127330202	4.14107658497382	8.13311125044937	8.39353802964045	7.2628068270638	3.88556900722154	6.51570515983413	0	0	0	0	0
13:147814768|147839301	sus_circPHLDB2_25	11.2710617091148	2.25574337483021	0.581652614575094	3.87816252915509	0.000105248396810452	0.010000070833237	8.28215316994765	17.8928447509886	13.4296608474247	19.9727187744255	18.8727637493618	27.5664449069905	0	7.65034960610685	1.54751209059021	5.82445036679055	2.94278053763656
