Row.names	circ_name	logFC	logCPM	LR	PValue	DE	FDR	LD60_1	LD60_2	LD60_3	TD60_1	TD60_2	TD60_3
1:16218321|16224015	sus_circPCMT1_12	-6.16398511025586	-4.15692958108807	17.3280791846999	3.14505153592531e-05	-1	0.0263343548708126	0.0855	0.3651	0.0414	NA	NA	NA
1:182340847|182341116	sus_circPSMC6_16	-4.24930032408862	-3.27185200036271	16.5937522243097	4.63033062373601e-05	-1	0.0343763489398776	0.2352	0.4381	0.352	0.0218	0.0253	0.0206
1:187315688|187323793	sus_circACTR10_5	-5.4165058900684	-3.41292523099957	21.0259223579429	4.53111203076078e-06	-1	0.00614777065345688	0.1497	0.3164	0.4762	NA	NA	0.0206
1:216332768|216333648	sus_circERMP1_11	-6.71239492634557	-3.74734242001312	22.5178049587937	2.08204811816593e-06	-1	0.00417165470205885	0.278	0.0974	0.3313	NA	NA	NA
1:273771031|273777030	sus_circRXRA_2	-6.18644550823789	-4.140103152289	17.5561687639079	2.78944366887173e-05	-1	0.0246578367468659	0.2566	0.1704	0.0621	NA	NA	NA
10:14786194|14794270	sus_circCDC42BPA_100	-6.91590748542565	-3.58655121075524	24.4494739650342	7.62843375572843e-07	-1	0.0020229912826214	0.4918	0.1947	0.1242	NA	NA	NA
10:53197803|53202893	sus_circMLLT10_51	-4.68162263683415	-0.674361065872576	23.5802355147744	1.19811860233179e-06	-1	0.00291252647905172	1.4753	2.6044	3.1678	0.1747	0.0758	0.1443
11:15709103|15712263	sus_circVPS36_1	-4.68792856577413	-3.37086059629666	18.3079642211222	1.87919902411399e-05	-1	0.0179731523712883	0.1711	0.2921	0.4969	0.0218	NA	0.0206
11:19200035|19204789	sus_circRB1_7	6.31753255199719	-3.9845400399984	16.2025521284894	5.69173843908619e-05	1	0.0395318338110912	NA	NA	NA	0.1528	0.5558	0.0206
11:51540591|51551593	sus_circNDFIP2_19	-5.67962690878339	-1.67526568549605	29.6877137298188	5.07554909373262e-08	-1	0.000246764737688791	0.8553	1.1197	1.615	0.0655	0.0253	NA
12:42750233|42758003	sus_circRHOT1_40	-6.71922281240152	-3.74211958529756	22.5772985461864	2.01855752267149e-06	-1	0.00417165470205885	0.2352	0.146	0.3313	NA	NA	NA
12:59758053|59777382	sus_circAKAP10_30	6.44662282065463	-3.89025125343084	17.3192768202176	3.15965315031517e-05	1	0.0263343548708126	NA	NA	NA	0.262	0.379	0.1856
13:140282902|140286985	sus_circGSK3B_11	-4.52606246485042	-3.44643423271896	16.9187916383598	3.90134468183553e-05	-1	0.0316128126982846	NA	0.3408	0.559	0.0218	0.0253	NA
13:4067610|4068255	sus_circPLCL2_1	-9.31321718319837	-1.43074123352959	45.9102084186519	1.23799154075294e-11	-1	2.40756341568694e-07	0.8339	0.9736	2.5674	NA	NA	NA
13:51386726|51401694	sus_circMITF_7	6.60741027452951	-3.77153155731654	18.6127149636407	1.60148842571686e-05	1	0.0161093168505471	NA	NA	NA	0.2402	0.5811	0.0825
14:87806050|87822845	sus_circBMPR1A_3	-5.58118532324777	-3.26347983416412	22.6242941824729	1.96978040998439e-06	-1	0.00417165470205885	0.1497	0.4868	0.4348	0.0218	NA	NA
15:687282|692199	sus_circNEB_158	-6.77636185792469	-3.69750748162349	23.1087700208479	1.53090840778982e-06	-1	0.00357265033309095	0.1283	0.2677	0.352	NA	NA	NA
15:76103283|76105330	sus_circMETTL5_2	8.26452330021388	-2.38582042679265	33.0761796149344	8.86177634535766e-09	1	7.38591079344081e-05	NA	NA	NA	1.6158	NA	1.5258
17:52866612|52872012	sus_circNFATC2_16	4.44445930865344	-2.69834614219604	18.2349962410715	1.95257957076516e-05	1	0.0183737737609001	0.0641	NA	NA	0.8079	1.339	NA
18:15347146|15348948	sus_circEXOC4_15	-6.45872171249998	-2.45163163903582	30.7232157756442	2.97583229564483e-08	-1	0.000192906675325012	0.5132	0.7302	0.7868	NA	0.0253	NA
18:29135523|29142960	sus_circST7_21	-6.36665553327839	-4.01016258444768	19.18830999185	1.18436465847411e-05	-1	0.0127959635008697	0.0855	0.2921	0.1863	NA	NA	NA
2:40819038|40820292	sus_circLDHA_9	-5.94877090811971	-4.30513502915253	15.5059910774417	8.22441732543163e-05	-1	0.0494669026392095	0.0428	0.3408	0.0414	NA	NA	NA
2:62307779|62313757	sus_circBRD4_4	-3.57621314039086	-1.50578366450036	15.8306568524765	6.92710242405328e-05	-1	0.0449045566249018	1.2615	0.3651	2.174	0.0873	0.1516	0.2062
2:62312200|62313757	sus_circBRD4_9	4.12566680442248	-2.95041151251233	15.8961922856838	6.69132023256105e-05	1	0.0438634837087727	0.0428	0.0243	NA	0.524	0.5053	0.8042
2:8388248|8390219	sus_circATL3_10	-4.46846934847624	-1.96024900749074	21.7528936976346	3.10121751853499e-06	-1	0.00502586756851024	0.6201	1.0466	1.1802	0.1747	NA	NA
3:107207592|107229406	sus_circBIRC6_245	-6.48562963563384	-2.42719142916046	30.9620290992678	2.6312617744287e-08	-1	0.000191891343054649	0.6201	0.6572	0.7868	NA	0.0253	NA
3:107609926|107613737	sus_circMEMO1_9	-4.21171896361213	-2.14273139606084	19.7081269522217	9.0216882110487e-06	-1	0.010741700685898	0.5559	0.6815	1.2216	NA	0.0758	0.1031
3:11750368|11773901	sus_circGTF2I_33	6.46573601866959	-3.87663392842474	17.4535877239253	2.944081272412e-05	1	0.0256363566559792	NA	NA	NA	0.1528	0.5053	0.165
3:18512814|18513266	sus_circATXN2L_1	-6.33994568775329	-4.03030605027803	18.917986803784	1.36459974554755e-05	-1	0.0144751778826791	0.1069	0.3651	0.0828	NA	NA	NA
3:26691921|26693748	sus_circSMG1_42	-6.2791230112887	-4.07327887170804	18.4020972838468	1.78861007498711e-05	-1	0.0173918481658163	0.1711	0.146	0.207	NA	NA	NA
3:85601526|85604159	sus_circPNPT1_5	-6.52013409962603	-3.89567814254779	20.6590886952628	5.48760746631106e-06	-1	0.00695995640868522	0.1069	0.2921	0.2277	NA	NA	NA
4:106850368|106859846	sus_circPHTF1_17	4.46273705488327	-3.14181211367152	16.6131741456877	4.58315598038575e-05	1	0.0343763489398776	0.0214	NA	0.0207	0.5022	0.7832	0.2474
4:118066785|118069700	sus_circMFSD14A_24	-7.08564817189231	-3.44778047077817	26.1683164901417	3.12914797565438e-07	-1	0.00101422639553127	0.0428	0.2677	0.6211	NA	NA	NA
4:118211129|118230068	sus_circAGL_54	-5.06194234577103	1.10980620473475	24.8056674847593	6.34107527558652e-07	-1	0.00184975506864134	7.847	9.7604	7.8884	0.2402	0.5053	0.3093
4:40338864|40345193	sus_circPTDSS1_25	-6.40363728526594	-3.98257177274375	19.5488906254412	9.80576630192586e-06	-1	0.0110016926459031	0.0855	0.2434	0.2485	NA	NA	NA
4:50451389|50462793	sus_circWWP1_77	5.76765878877991	-2.75533495206296	23.945010089504	9.9126881429555e-07	1	0.00251446109407091	NA	NA	0.0207	0.2402	0.8085	1.1547
4:84860816|84861880	sus_circUCK2_6	-6.24685805195459	-4.09704233979516	18.0906959435987	2.10628133332015e-05	-1	0.0195055024680261	0.1711	0.2191	0.1242	NA	NA	NA
4:93736189|93738733	sus_circCCT3_1	-4.19057551443106	-3.32982309285849	16.0641654376971	6.1231840130802e-05	-1	0.0410619312288649	0.0428	0.6328	0.3106	NA	0.0253	0.0412
5:12707999|12710312	sus_circPWP1_7	-6.10196576395288	-4.19898204623193	16.835924574641	4.07544642104374e-05	-1	0.0325711911091143	0.0855	0.1947	0.1863	NA	NA	NA
