Row.names	circ_name	logFC	logCPM	LR	PValue	DE	FDR	LD160_1	LD160_2	LD160_3	TD160_1	TD160_2	TD160_3
1:129106542|129114618	sus_circTMEM87A_3	5.70651936989279	-1.68322892099838	29.6705665072874	5.1206449073155e-08	1	0.000193592381527197	0.0616	NA	NA	0.7536	2.3874	1.4721
1:130255152|130256849	sus_circINO80_49	3.5803489987369	-1.7210419522115	16.0379428755994	6.20857161533062e-05	1	0.0332350882310929	0.1849	0.1046	NA	1.0135	1.1937	2.0855
1:138371349|138417939	sus_circMEF2A_6	6.98297784057139	-3.3813526756385	23.107643633412	1.53180548823687e-06	1	0.00264739754238424	NA	NA	NA	0.5197	0.1557	0.5643
1:162285776|162291108	sus_circALPK2_20	-4.56677134519936	-2.15840275252606	21.899099339748	2.87368765779768e-06	-1	0.00375358203385613	0.3902	1.334	0.8669	NA	0.0519	0.0736
1:228032343|228037829	sus_circC9orf40_12	4.39335968212202	-1.10039316223466	22.3466925186115	2.27604706388117e-06	1	0.00347198883700894	0.1232	0.0523	0.0754	1.7411	1.8165	3.435
1:252271582|252280307	sus_circECPAS_45	5.51363407464361	-0.740326542826694	30.5874681213965	3.191485272553e-08	1	0.000140356526784977	0.0411	0.1046	0.0188	3.1703	2.569	3.4104
10:14786194|14794270	sus_circCDC42BPA_100	-6.65174717722796	-3.6493723656908	20.3972352371579	6.29206325706965e-06	-1	0.00645096451559565	0.1643	0.3139	0.3015	NA	NA	NA
10:42061873|42079536	sus_circZEB1_7	5.14812732211976	-0.881439433180738	27.8100316163146	1.33830387039128e-07	1	0.000449744450666491	0.0205	0.1831	NA	0.7016	5.0601	2.4045
10:45139215|45142435	sus_circRSU1_15	6.38561614278592	-3.83970060642351	17.5699414020713	2.76931295471708e-05	1	0.0174495563157121	NA	NA	NA	0.2858	0.3633	0.1472
10:53197803|53202893	sus_circMLLT10_51	-3.48142539232511	-0.000979750507353883	15.9172632294818	6.6172397384835e-05	-1	0.0339217654051582	2.6495	4.2636	4.6173	0.1819	0.4671	0.6625
10:68491183|68499831	sus_circWDR37_6	6.14436051398462	-4.01093363313859	15.5583928977596	7.99957316912393e-05	1	0.0375111768217292	NA	NA	NA	0.2079	0.2076	0.2699
11:18714362|18715144	sus_circFNDC3A_40	4.30192981283654	-2.31647791871892	19.6744712475963	9.18198542822886e-06	1	0.00782279293737414	0.0616	NA	0.0377	0.6497	0.9601	1.2022
11:3237458|3242632	sus_circNUP58_15	4.34741575665376	-1.05788546232856	22.0925374457645	2.59817823266894e-06	1	0.00362612146961927	0.1849	NA	0.0754	1.7671	1.9462	3.484
